"site","survey_year","transect_plot","quadrat","germ_survey_date","pick_color","number_germ","missing_germs","germ_notes","mort_survey_date","num_dead","mort_notes","days_since_germ","cum_dead","count_check"
"WL1",2022,1,1.5,2022-02-18,"blue",0,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,1.5,2022-02-18,"blue",0,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,1.5,2022-02-18,"blue",0,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,1.5,2022-02-18,"blue",0,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,1,2,2022-02-18,"blue",0,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,2,2022-02-18,"blue",0,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,2,2022-02-18,"blue",0,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,2,2022-02-18,"blue",0,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,1,2.5,2022-02-18,"blue",0,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,2.5,2022-02-18,"blue",0,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,2.5,2022-02-18,"blue",0,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,2.5,2022-02-18,"blue",0,0,NA,2022-07-01,0,"extra green",133,0,TRUE
"WL1",2022,1,3,2022-02-18,"blue",3,0,NA,2022-04-01,1,NA,42,1,TRUE
"WL1",2022,1,3,2022-02-18,"blue",3,0,NA,2022-04-27,1,NA,68,2,TRUE
"WL1",2022,1,3,2022-02-18,"blue",3,0,NA,2022-05-18,0,"0",89,2,TRUE
"WL1",2022,1,3,2022-02-18,"blue",3,0,NA,2022-07-01,0,NA,133,2,TRUE
"WL1",2022,1,3.5,2022-02-18,"blue",3,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,3.5,2022-02-18,"blue",3,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,3.5,2022-02-18,"blue",3,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,3.5,2022-02-18,"blue",3,0,NA,2022-07-01,1,"disturbance to plot",133,1,TRUE
"WL1",2022,1,4,2022-02-18,"blue",1,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,4,2022-02-18,"blue",1,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,4,2022-02-18,"blue",1,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,4,2022-02-18,"blue",1,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,1,4.5,2022-02-18,"blue",1,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,4.5,2022-02-18,"blue",1,0,NA,2022-04-27,1,NA,68,1,TRUE
"WL1",2022,1,4.5,2022-02-18,"blue",1,0,NA,2022-05-18,0,"0",89,1,TRUE
"WL1",2022,1,4.5,2022-02-18,"blue",1,0,NA,2022-07-01,0,NA,133,1,TRUE
"WL1",2022,1,5,2022-02-18,"blue",0,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,5,2022-02-18,"blue",0,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,5,2022-02-18,"blue",0,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,5,2022-02-18,"blue",0,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,1,5.5,2022-02-18,"blue",1,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,5.5,2022-02-18,"blue",1,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,5.5,2022-02-18,"blue",1,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,5.5,2022-02-18,"blue",1,0,NA,2022-07-01,1,NA,133,1,TRUE
"WL1",2022,1,6,2022-02-18,"blue",0,0,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,6,2022-02-18,"blue",0,0,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,6,2022-02-18,"blue",0,0,NA,2022-05-18,0,"0",89,0,TRUE
"WL1",2022,1,6,2022-02-18,"blue",0,0,NA,2022-07-01,0,NA,133,0,TRUE
"WL1",2022,1,6.5,2022-02-18,"blue",1,1,NA,2022-04-01,0,NA,42,0,TRUE
"WL1",2022,1,6.5,2022-02-18,"blue",1,1,NA,2022-04-27,0,NA,68,0,TRUE
"WL1",2022,1,6.5,2022-02-18,"blue",1,1,NA,2022-05-18,0,"0",89,0,TRUE
